customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,SeniorCitizenLabel,AvgMonthlySpend,ProjectedCLV,TenureGroup,R_Score,F_Score,M_Score,RFM_Score,Segment,ChurnProbability,RevenueAtRisk
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,No,29.85,716.4000000000001,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.66612595,238.60631643533708
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,No,55.5735294117647,1366.8000000000002,25-48 mo,3,2,3,8,Loyal High-Value,0.02924001,19.982623043283823
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,No,54.075,1292.4,0-6 mo,1,2,1,4,Price-Sensitive / New,0.39891312,257.77765508294107
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,No,40.90555555555556,1015.2,25-48 mo,3,2,3,8,Loyal High-Value,0.034246247,17.383395110070705
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,No,75.825,1696.8000000000002,0-6 mo,1,3,1,5,Price-Sensitive / New,0.59651077,506.07973551750183
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,No,102.5625,2391.6000000000004,7-12 mo,1,4,2,7,At Risk,0.89154285,1066.106942331791
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,No,88.60909090909091,2138.4,13-24 mo,2,3,3,8,Loyal High-Value,0.37122333,396.9119849681854
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,No,30.19,714.0,7-12 mo,2,1,1,4,Price-Sensitive / New,0.16163447,57.70350757241249
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,No,108.7875,2515.2,25-48 mo,2,4,3,9,Loyal High-Value,0.60375106,759.2773372650147
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,No,56.25725806451613,1347.6,49+ mo,4,2,3,9,Loyal High-Value,0.020867685,14.060646056011318
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,No,45.18846153846154,1198.8000000000002,13-24 mo,2,2,2,6,At Risk,0.14844346,88.97701020240784
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,No,20.425,454.8,13-24 mo,2,1,1,4,Price-Sensitive / New,0.0033191326,0.7547707549296319
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,No,97.95,2408.4,49+ mo,4,4,4,12,Champions,0.17300647,208.3343971610069
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,No,102.78163265306122,2488.8,49+ mo,3,4,4,11,Champions,0.53628284,667.3503628492356
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,No,107.442,2532.0,25-48 mo,2,4,3,9,Loyal High-Value,0.6540545,828.0330255031586
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,No,114.42246376811592,2718.0,49+ mo,4,4,4,12,Champions,0.025449308,34.58560907654464
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,No,19.672115384615385,495.6,49+ mo,3,1,2,6,At Risk,0.013093446,3.244556013308465
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,No,103.97535211267606,2560.8,49+ mo,4,4,4,12,Champions,0.0425343,54.46091668903827
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,No,52.835,1324.8000000000002,7-12 mo,2,2,2,6,At Risk,0.19768842,130.94880652427673
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,No,88.70952380952382,2161.2,13-24 mo,2,4,3,9,Loyal High-Value,0.45338312,489.9257972180843
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,Yes,39.65,951.6,0-6 mo,1,2,1,4,Price-Sensitive / New,0.8646014,411.3773335933686
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,No,16.854166666666668,475.2000000000001,7-12 mo,2,1,1,4,Price-Sensitive / New,0.026300928,6.249100403487683
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,No,20.15,483.6,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.43983486,106.35206986069679
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,No,60.43275862068965,1437.6,49+ mo,4,2,3,9,Loyal High-Value,0.02774145,19.940554846823215
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,No,60.61836734693878,1430.4,49+ mo,3,2,3,8,Loyal High-Value,0.10310609,73.74147480726242
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,No,51.02,1327.1999999999998,25-48 mo,3,2,3,8,Loyal High-Value,0.15322907,101.68281263709068
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,No,101.04574468085106,2384.4,25-48 mo,3,4,4,11,Champions,0.62567824,745.9335992217063
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,No,30.2,724.8,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.5432635,196.87869057655337
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,No,88.46458333333334,2166.0,49+ mo,4,4,4,12,Champions,0.004415183,4.781643040012568
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,No,64.3,1552.8000000000002,13-24 mo,2,2,2,6,At Risk,0.26091465,202.57413700819018
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,Yes,95.30915492957746,2312.4,49+ mo,4,4,4,12,Champions,0.010754849,12.434756217710673
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,Yes,90.825,2292.0,0-6 mo,1,4,1,6,At Risk,0.7407648,848.9164570569992
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,No,69.42407407407407,1587.6,25-48 mo,2,2,3,7,At Risk,0.0329995,26.195003601908688
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,No,20.2,484.8,0-6 mo,1,1,1,3,Low-Value / Disengaged,0.28446254,68.95372002124786
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,Yes,45.25,1086.0,0-6 mo,1,2,1,4,Price-Sensitive / New,0.63621336,345.46385568380356
